# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jul  1 21:30:23 2025
#
# COLUMN star_id:        Star ID
# COLUMN region:         Part of Sky Surveyed
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN starthjd:       Start HJD [day]
# COLUMN endhjd:         End HJD [day]
# COLUMN bmag:           B Mag [mag]
# COLUMN vmag:           V Mag [mag]
# COLUMN rmag:           R Mag [mag]
# COLUMN rerr:           R Mag uncertainty [mag]
# COLUMN lcfil:          Light Curve Filter
# COLUMN npts:           Points in Light Curve
#
star_id,region,ra,dec,starthjd,endhjd,bmag,vmag,rmag,rerr,lcfil,npts
TrES_Lyr1_00001,TrES_Lyr1,281.5508,44.1361,2453541.79,2453616.73,8.333,8.110,9.251,0.135,R,11398
TrES_Lyr1_00002,TrES_Lyr1,281.2400,44.3592,2453541.79,2453616.73,8.856,8.361,9.407,0.140,R,11398
TrES_Lyr1_00003,TrES_Lyr1,281.5725,44.1500,2453541.79,2453616.73,10.077,8.899,9.837,0.098,R,11398
TrES_Lyr1_00004,TrES_Lyr1,289.1513,49.7128,2453549.75,2453611.95,10.372,9.303,10.644,0.037,R,4105
TrES_Lyr1_00005,TrES_Lyr1,287.8971,49.7703,2453549.75,2453611.95,11.220,9.614,10.564,0.024,R,3941
TrES_Lyr1_00006,TrES_Lyr1,281.1996,44.9611,2453549.85,2453603.97,11.495,10.353,10.743,0.059,R,2315
TrES_Lyr1_00007,TrES_Lyr1,281.4308,49.2522,2453541.79,2453616.73,10.686,9.483,10.703,0.027,R,11398
TrES_Lyr1_00008,TrES_Lyr1,281.2850,46.2778,2453549.94,2453611.95,9.963,9.457,10.822,0.135,R,2252
TrES_Lyr1_00009,TrES_Lyr1,281.6729,44.6850,2453549.75,2453611.95,10.593,9.579,10.858,0.022,R,4139
TrES_Lyr1_00010,TrES_Lyr1,282.7071,44.2639,2453549.75,2453611.95,11.093,9.848,10.932,0.057,R,2935
TrES_Lyr1_00011,TrES_Lyr1,285.9125,44.4722,2453541.79,2453616.73,10.813,9.774,10.788,0.037,R,11398
TrES_Lyr1_00012,TrES_Lyr1,288.9096,48.1811,2453549.75,2453611.94,11.605,9.885,10.972,0.020,R,1591
TrES_Lyr1_00013,TrES_Lyr1,288.2942,44.9481,2453541.79,2453616.73,9.885,9.430,10.946,0.035,R,11398
TrES_Lyr1_00014,TrES_Lyr1,282.4083,44.1389,2453549.75,2453611.95,11.162,9.836,10.971,0.045,R,3171
TrES_Lyr1_00015,TrES_Lyr1,282.6900,44.3881,2453549.81,2453611.95,10.069,9.505,11.070,0.020,R,2657
TrES_Lyr1_00016,TrES_Lyr1,288.1587,49.2183,2453549.75,2453611.95,9.950,9.412,11.050,0.024,R,2157
TrES_Lyr1_00017,TrES_Lyr1,281.8758,47.1994,2453549.78,2453611.95,11.093,9.772,11.041,0.018,R,1763
TrES_Lyr1_00018,TrES_Lyr1,288.3317,46.4717,2453541.79,2453616.73,11.453,9.971,10.976,0.028,R,11398
TrES_Lyr1_00019,TrES_Lyr1,285.2925,46.5461,2453541.79,2453616.73,11.220,9.848,10.836,0.061,R,11398
TrES_Lyr1_00020,TrES_Lyr1,289.0675,47.0956,2453541.79,2453616.73,,,11.029,0.032,R,11398
TrES_Lyr1_00021,TrES_Lyr1,282.3904,47.7108,2453541.79,2453616.73,10.294,9.611,10.812,0.037,R,11398
TrES_Lyr1_00022,TrES_Lyr1,287.4475,47.9450,2453541.79,2453616.73,10.837,9.764,10.884,0.037,R,11398
TrES_Lyr1_00023,TrES_Lyr1,280.9404,48.2858,2453549.75,2453611.95,9.944,9.563,11.118,0.018,R,3107
TrES_Lyr1_00024,TrES_Lyr1,288.4150,50.0000,2453549.75,2453611.95,11.079,9.844,11.127,0.037,R,2906
TrES_Lyr1_00025,TrES_Lyr1,281.6117,45.4286,2453549.75,2453611.95,10.927,9.796,11.185,0.019,R,2820
TrES_Lyr1_00026,TrES_Lyr1,287.8767,49.7753,2453549.75,2453611.95,12.596,10.302,11.087,0.036,R,3276
TrES_Lyr1_00027,TrES_Lyr1,285.3008,49.6219,2453541.79,2453616.73,12.092,10.263,11.115,0.034,R,11398
TrES_Lyr1_00028,TrES_Lyr1,281.2800,45.0625,2453549.76,2453611.95,10.926,9.833,11.120,0.023,R,3306
TrES_Lyr1_00029,TrES_Lyr1,289.0663,48.8392,2453549.75,2453611.94,11.631,9.996,11.125,0.023,R,3199
TrES_Lyr1_00030,TrES_Lyr1,288.7833,46.1736,2453541.79,2453616.73,,,11.023,0.024,R,11398
TrES_Lyr1_00031,TrES_Lyr1,288.9875,44.5119,2453549.75,2453611.95,,,11.123,0.034,R,2951
TrES_Lyr1_00032,TrES_Lyr1,284.9621,46.9806,2453541.79,2453616.73,9.781,9.454,10.896,0.082,R,11398
TrES_Lyr1_00033,TrES_Lyr1,289.8012,49.2194,2453549.75,2453611.95,10.153,9.492,11.132,0.049,R,4003
TrES_Lyr1_00034,TrES_Lyr1,283.6208,48.6592,2453541.79,2453616.73,10.990,9.771,11.041,0.038,R,11398
TrES_Lyr1_00035,TrES_Lyr1,280.9112,49.6981,2453549.75,2453611.95,10.305,9.548,11.152,0.021,R,4132
TrES_Lyr1_00036,TrES_Lyr1,281.5129,48.5292,2453549.75,2453611.95,11.823,10.092,11.163,0.015,R,2654
TrES_Lyr1_00037,TrES_Lyr1,284.7563,49.4072,2453541.79,2453616.73,10.968,9.827,10.952,0.046,R,11398
TrES_Lyr1_00038,TrES_Lyr1,282.0954,45.3894,2453549.76,2453611.95,11.460,10.046,11.177,0.020,R,2940
TrES_Lyr1_00039,TrES_Lyr1,282.2479,44.9606,2453549.75,2453611.95,11.750,10.145,11.199,0.037,R,3293
TrES_Lyr1_00040,TrES_Lyr1,282.0667,49.2414,2453541.79,2453616.73,11.409,10.035,11.019,0.029,R,11398
TrES_Lyr1_00041,TrES_Lyr1,286.1329,46.7264,2453541.79,2453616.73,11.288,9.932,11.188,0.039,R,11398
TrES_Lyr1_00042,TrES_Lyr1,281.7992,49.1494,2453549.75,2453611.95,10.241,9.702,11.213,0.042,R,4010
TrES_Lyr1_00043,TrES_Lyr1,289.0483,45.3317,2453541.79,2453616.73,,,11.211,0.031,R,11398
TrES_Lyr1_00044,TrES_Lyr1,280.9579,48.3258,2453549.75,2453611.95,10.830,9.889,11.219,0.017,R,3423
TrES_Lyr1_00045,TrES_Lyr1,287.6612,44.5406,2453541.79,2453616.73,10.531,9.811,11.216,0.025,R,11398
TrES_Lyr1_00046,TrES_Lyr1,287.1442,48.6947,2453549.75,2453611.95,10.936,10.528,11.225,0.133,R,4148
TrES_Lyr1_00047,TrES_Lyr1,284.6458,49.1058,2453541.79,2453616.73,11.114,9.900,11.215,0.032,R,11398
TrES_Lyr1_00048,TrES_Lyr1,281.8525,44.8097,2453549.75,2453611.95,11.242,10.068,11.233,0.037,R,3830
TrES_Lyr1_00049,TrES_Lyr1,288.1704,46.4003,2453541.79,2453616.73,10.286,9.726,11.219,0.038,R,11398
TrES_Lyr1_00050,TrES_Lyr1,283.5817,44.3997,2453549.75,2453611.95,11.246,10.119,11.235,0.031,R,3494
TrES_Lyr1_00051,TrES_Lyr1,281.7458,46.2556,2453541.79,2453616.73,11.070,10.016,11.031,0.035,R,11398
TrES_Lyr1_00052,TrES_Lyr1,285.7013,44.9394,2453541.79,2453616.73,11.369,10.003,11.000,0.041,R,11398
TrES_Lyr1_00053,TrES_Lyr1,285.5192,48.9972,2453549.75,2453611.95,10.271,9.674,11.242,0.017,R,2426
TrES_Lyr1_00054,TrES_Lyr1,288.3842,48.6531,2453549.75,2453611.95,9.643,9.370,11.252,0.016,R,3363
TrES_Lyr1_00055,TrES_Lyr1,287.8579,49.1722,2453549.75,2453611.95,10.043,9.648,11.251,0.033,R,3974
TrES_Lyr1_00056,TrES_Lyr1,286.7750,47.1778,2453541.79,2453616.73,10.146,9.663,11.106,0.039,R,11398
TrES_Lyr1_00057,TrES_Lyr1,287.9854,48.3819,2453541.79,2453616.73,11.122,9.890,11.168,0.031,R,11398
TrES_Lyr1_00058,TrES_Lyr1,287.2346,45.3606,2453541.79,2453616.73,11.023,9.984,11.064,0.030,R,11398
TrES_Lyr1_00059,TrES_Lyr1,287.5179,45.9631,2453541.79,2453616.73,11.527,10.261,11.263,0.043,R,11398
TrES_Lyr1_00060,TrES_Lyr1,289.5304,46.9572,2453549.75,2453611.95,11.445,10.023,11.271,0.029,R,3043
TrES_Lyr1_00061,TrES_Lyr1,284.3871,49.6561,2453549.75,2453611.95,11.677,10.128,11.275,0.035,R,3477
TrES_Lyr1_00062,TrES_Lyr1,284.4050,49.4800,2453549.75,2453611.95,11.526,10.137,11.283,0.014,R,3015
TrES_Lyr1_00063,TrES_Lyr1,285.0683,44.9086,2453541.79,2453616.73,12.062,10.320,11.041,0.036,R,11398
TrES_Lyr1_00064,TrES_Lyr1,286.2679,46.3061,2453541.79,2453616.73,9.654,9.485,11.022,0.028,R,11398
TrES_Lyr1_00065,TrES_Lyr1,288.2004,49.4808,2453549.75,2453611.95,10.375,9.728,11.291,0.026,R,4108
TrES_Lyr1_00066,TrES_Lyr1,289.2417,44.1786,2453549.75,2453611.95,11.957,10.350,11.297,0.016,R,4148
TrES_Lyr1_00067,TrES_Lyr1,285.1358,49.4561,2453541.79,2453616.73,11.494,11.137,11.217,0.037,R,11398
TrES_Lyr1_00068,TrES_Lyr1,284.3917,46.2047,2453549.75,2453611.92,12.373,10.514,11.539,0.014,R,1846
TrES_Lyr1_00069,TrES_Lyr1,287.2937,49.0642,2453549.75,2453611.95,11.369,10.031,11.309,0.039,R,3156
TrES_Lyr1_00070,TrES_Lyr1,286.7967,46.2683,2453541.79,2453616.73,11.201,9.968,11.054,0.041,R,11398
TrES_Lyr1_00071,TrES_Lyr1,287.2250,47.1236,2453541.79,2453616.73,11.485,10.065,11.061,0.026,R,11398
TrES_Lyr1_00072,TrES_Lyr1,281.7129,47.0217,2453549.75,2453611.95,11.624,10.090,11.499,0.030,R,3133
TrES_Lyr1_00073,TrES_Lyr1,283.7546,47.2722,2453541.79,2453616.73,11.317,10.017,11.300,0.042,R,11398
TrES_Lyr1_00074,TrES_Lyr1,280.9504,49.2483,2453549.75,2453611.95,,,11.324,0.035,R,4147
TrES_Lyr1_00075,TrES_Lyr1,284.1500,44.8428,2453549.76,2453611.95,11.296,10.194,11.325,0.041,R,2890
TrES_Lyr1_00076,TrES_Lyr1,288.7254,47.6967,2453549.75,2453611.95,,,11.325,0.033,R,3437
TrES_Lyr1_00077,TrES_Lyr1,287.6988,49.8122,2453549.75,2453611.95,11.450,10.050,11.333,0.034,R,4034
TrES_Lyr1_00078,TrES_Lyr1,281.4400,49.2072,2453549.75,2453611.95,11.170,10.082,11.338,0.039,R,4148
TrES_Lyr1_00079,TrES_Lyr1,282.5771,48.5142,2453549.75,2453611.95,11.300,10.142,11.339,0.041,R,3415
TrES_Lyr1_00080,TrES_Lyr1,287.5225,44.5453,2453549.75,2453611.95,10.608,9.890,11.339,0.023,R,3478
TrES_Lyr1_00081,TrES_Lyr1,283.7446,46.2050,2453549.75,2453611.95,11.772,10.317,11.340,0.017,R,2513
TrES_Lyr1_00082,TrES_Lyr1,283.6862,49.6983,2453549.75,2453611.95,11.656,10.190,11.343,0.037,R,3757
TrES_Lyr1_00083,TrES_Lyr1,285.8979,44.4119,2453541.79,2453616.73,11.302,10.170,11.339,0.029,R,11398
TrES_Lyr1_00084,TrES_Lyr1,281.8346,46.8989,2453549.75,2453611.95,9.712,9.496,11.347,0.019,R,3320
TrES_Lyr1_00085,TrES_Lyr1,285.3188,45.1689,2453541.79,2453616.73,11.684,10.205,11.331,0.037,R,11398
TrES_Lyr1_00086,TrES_Lyr1,286.7867,44.3653,2453549.75,2453611.95,11.308,10.140,11.350,0.035,R,3600
TrES_Lyr1_00087,TrES_Lyr1,284.0158,46.2836,2453549.75,2453611.95,11.566,10.305,11.355,0.018,R,2414
TrES_Lyr1_00088,TrES_Lyr1,285.3021,47.6972,2453541.79,2453616.73,11.142,10.030,11.066,0.034,R,11398
TrES_Lyr1_00089,TrES_Lyr1,288.6642,46.0689,2453549.75,2453611.95,,,11.352,0.030,R,2407
TrES_Lyr1_00090,TrES_Lyr1,289.0138,44.0542,2453549.75,2453611.95,11.548,10.828,11.353,0.014,R,4148
TrES_Lyr1_00091,TrES_Lyr1,289.0079,49.4108,2453541.79,2453616.73,,,11.356,0.049,R,14793
TrES_Lyr1_00092,TrES_Lyr1,281.1671,45.8358,2453549.75,2453611.95,11.389,10.364,11.355,0.049,R,3861
TrES_Lyr1_00093,TrES_Lyr1,287.9821,48.2167,2453549.75,2453611.95,10.141,9.745,11.365,0.040,R,3498
TrES_Lyr1_00094,TrES_Lyr1,288.8133,46.2481,2453541.79,2453616.73,,,11.362,0.030,R,11398
TrES_Lyr1_00095,TrES_Lyr1,281.2508,45.5400,2453549.75,2453611.95,10.702,9.960,11.366,0.024,R,3878
TrES_Lyr1_00096,TrES_Lyr1,284.3233,44.4597,2453549.75,2453611.95,11.199,10.140,11.368,0.025,R,3263
TrES_Lyr1_00097,TrES_Lyr1,283.5571,49.6053,2453549.75,2453611.95,11.513,10.154,11.370,0.033,R,4051
TrES_Lyr1_00098,TrES_Lyr1,281.3692,49.4150,2453549.75,2453611.95,11.428,10.256,11.372,0.034,R,4148
TrES_Lyr1_00099,TrES_Lyr1,288.7621,45.7981,2453541.79,2453616.73,,,11.369,0.032,R,15003
TrES_Lyr1_00100,TrES_Lyr1,285.9712,49.4278,2453549.75,2453611.95,9.972,9.692,11.372,0.047,R,3875
TrES_Lyr1_00101,TrES_Lyr1,287.5350,44.1103,2453549.75,2453611.95,11.244,10.125,11.372,0.035,R,3915
TrES_Lyr1_00102,TrES_Lyr1,285.8288,46.6325,2453549.75,2453611.95,11.056,10.067,11.374,0.027,R,2480
TrES_Lyr1_00103,TrES_Lyr1,287.2846,47.8467,2453541.79,2453616.73,10.519,9.928,11.371,0.042,R,11398
TrES_Lyr1_00104,TrES_Lyr1,288.5437,45.7211,2453549.75,2453611.95,,,11.379,0.032,R,3393
TrES_Lyr1_00105,TrES_Lyr1,285.2392,48.4114,2453549.75,2453611.95,10.100,9.726,11.380,0.037,R,3039
TrES_Lyr1_00106,TrES_Lyr1,284.7837,44.5003,2453541.79,2453616.73,12.592,10.845,11.385,0.046,R,11398
TrES_Lyr1_00107,TrES_Lyr1,286.1104,46.7833,2453541.79,2453616.73,10.281,9.805,11.100,0.034,R,11398
